cand_type,cand_value,mean_acc,std_acc,effective_dims
n_components,16,0.542466,0.061629,"[16, 16, 16, 16, 16]"
n_components,32,0.542466,0.061629,"[32, 32, 32, 32, 32]"
n_components,64,0.542466,0.061629,"[64, 64, 64, 64, 64]"
n_components,128,0.542466,0.061629,"[128, 128, 128, 128, 128]"
var_ratio,0.8,0.482192,0.045351,"[3, 3, 3, 3, 3]"
var_ratio,0.9,0.512329,0.050962,"[4, 5, 5, 5, 5]"
var_ratio,0.95,0.531507,0.063901,"[6, 6, 6, 6, 6]"
var_ratio,0.98,0.536986,0.061507,"[9, 9, 10, 9, 9]"
