cand_type,cand_value,mean_acc,std_acc,effective_dims
n_components,16,0.619178,0.066208,"[16, 16, 16, 16, 16]"
n_components,32,0.619178,0.066208,"[32, 32, 32, 32, 32]"
n_components,64,0.619178,0.066208,"[64, 64, 64, 64, 64]"
n_components,128,0.619178,0.066208,"[128, 128, 128, 128, 128]"
var_ratio,0.8,0.553425,0.047136,"[3, 3, 3, 3, 3]"
var_ratio,0.9,0.586301,0.057076,"[4, 4, 4, 4, 4]"
var_ratio,0.95,0.597260,0.055880,"[6, 5, 6, 6, 6]"
var_ratio,0.98,0.610959,0.066322,"[9, 9, 9, 9, 9]"
